Iteration,Case_ID,Target_IP,Category,Expected_Verdict,Model,Model,Verdict,SR,Latency,Tokens
1,101,172.16.0.2,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.2812,82
1,102,172.16.0.2,Web Attack Sql Injection,Malicious,Llama-PcapLog,Default,Malicious,1,2.1386,82
1,103,172.16.0.3,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.163,64
1,104,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0485,140
1,105,192.168.10.25,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.1144,97
1,106,192.168.10.51,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,1.9625,122
1,107,172.16.0.2,SSH-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,2.0927,81
1,108,10.0.0.5,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,1.9501,64
1,109,172.16.0.3,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.0973,64
1,110,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9577,138
1,111,192.168.10.8,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,1.8741,95
1,112,192.168.10.5,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.0109,133
1,113,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8753,103
1,114,192.168.10.19,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9432,64
1,115,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.6097,76
1,116,172.16.0.2,DoS Slowloris,Malicious,Llama-PcapLog,Default,Malicious,1,2.1898,79
1,117,172.16.0.4,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.1564,64
1,118,192.168.10.30,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.2074,64
1,119,172.16.0.1,FTP-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,1.9512,137
1,120,192.168.10.5,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.0733,132
2,1,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3069,97
2,2,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2771,140
2,3,172.16.0.1,DoS GoldenEye,Malicious,Llama-PcapLog,Default,Malicious,1,2.1612,144
2,4,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2552,143
2,5,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3837,109
2,6,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.2439,141
2,7,192.168.10.14,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1157,66
2,8,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1148,145
2,9,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1514,110
2,10,192.168.10.19,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0227,67
2,11,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8989,140
2,12,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.8953,141
2,13,104.155.59.61,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9095,64
2,14,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0001,141
2,15,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.198,111
2,16,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9695,142
2,17,23.194.180.56,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0355,64
2,18,192.168.10.5,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.1669,139
2,19,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2485,88
2,20,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.4715,140
2,21,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.4645,140
2,22,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9408,111
2,23,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.2128,141
2,24,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8945,143
2,25,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9281,141
2,26,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9939,154
2,27,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9464,91
2,28,72.5.205.44,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0561,64
2,29,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.125,140
2,30,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9941,143
2,31,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9944,151
2,32,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2383,88
2,33,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9281,126
2,34,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0725,141
2,35,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0399,87
2,36,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0299,87
2,37,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1259,141
2,38,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1567,141
2,39,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8654,90
2,40,172.16.0.1,DoS Slowhttptest,Malicious,Llama-PcapLog,Default,Malicious,1,2.3096,141
2,41,192.168.10.50,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.079,141
2,42,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1019,150
2,43,205.174.165.73,Bot,Malicious,Llama-PcapLog,Default,Benign,0,2.1051,64
2,44,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2343,141
2,45,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.004,142
2,46,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0077,99
2,47,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.2382,147
2,48,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2465,116
2,49,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.38,141
2,50,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0094,141
2,51,192.168.10.16,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2034,80
2,52,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1246,141
2,53,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.2005,141
2,54,172.16.0.1,SSH-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,2.1289,141
2,55,192.168.10.25,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8655,99
2,56,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1826,141
2,57,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2886,89
2,58,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.3543,142
2,59,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9916,142
2,60,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.887,140
2,61,192.168.10.16,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9653,80
2,62,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1025,141
2,63,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.2234,141
2,64,69.16.175.10,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2107,64
2,65,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1152,143
2,66,172.16.0.1,DoS Slowhttptest,Malicious,Llama-PcapLog,Default,Malicious,1,2.2879,142
2,67,54.70.122.167,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9426,64
2,68,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8297,140
2,69,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.106,85
2,70,192.168.10.17,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3781,64
2,71,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0234,91
2,72,192.168.10.14,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.944,64
2,73,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2276,141
2,74,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.8396,142
2,75,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0356,142
2,76,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9942,144
2,77,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.4835,125
2,78,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9365,140
2,79,192.168.10.50,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.2295,142
2,80,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9204,141
2,81,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9673,91
2,82,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9512,89
2,83,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.0787,143
2,84,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9677,142
2,85,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.1726,142
2,86,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.6254,81
2,87,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9921,142
2,88,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0565,127
2,89,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.6336,140
2,90,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0013,142
2,91,23.61.187.27,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0547,64
2,92,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9019,83
2,93,52.84.40.212,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0643,64
2,94,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9391,140
2,95,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9058,144
2,96,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.145,155
2,97,172.16.0.1,DoS slowloris,Malicious,Llama-PcapLog,Default,Malicious,1,2.1162,140
2,98,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.2531,146
2,99,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9879,142
2,100,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.4566,144
2,101,172.16.0.2,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.0115,82
2,102,172.16.0.2,Web Attack Sql Injection,Malicious,Llama-PcapLog,Default,Malicious,1,1.9393,82
2,103,172.16.0.3,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.1042,64
2,104,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0603,140
2,105,192.168.10.25,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.3776,97
2,106,192.168.10.51,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,1.9745,122
2,107,172.16.0.2,SSH-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,2.0553,81
2,108,10.0.0.5,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.3248,64
2,109,172.16.0.3,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9767,64
2,110,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1514,138
2,111,192.168.10.8,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.3236,95
2,112,192.168.10.5,Infiltration,Malicious,Llama-PcapLog,Default,Malicious,1,2.1102,133
2,113,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2204,103
2,114,192.168.10.19,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9385,64
2,115,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9217,76
2,116,172.16.0.2,DoS Slowloris,Malicious,Llama-PcapLog,Default,Malicious,1,2.6006,79
2,117,172.16.0.4,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,1.9977,64
2,118,192.168.10.30,Infiltration,Malicious,Llama-PcapLog,Default,Benign,0,2.1701,64
2,119,172.16.0.1,FTP-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,2.1108,137
2,120,192.168.10.5,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,1.8764,132
3,1,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1163,97
3,2,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1608,140
3,3,172.16.0.1,DoS GoldenEye,Malicious,Llama-PcapLog,Default,Malicious,1,2.0758,144
3,4,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0179,143
3,5,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1003,109
3,6,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.8981,141
3,7,192.168.10.14,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1389,66
3,8,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.3103,145
3,9,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0882,110
3,10,192.168.10.19,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9289,67
3,11,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0618,140
3,12,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.4674,141
3,13,104.155.59.61,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2713,64
3,14,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.011,141
3,15,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1784,111
3,16,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.2397,142
3,17,23.194.180.56,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1898,64
3,18,192.168.10.5,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.1535,139
3,19,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2745,88
3,20,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9454,140
3,21,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.903,140
3,22,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0363,111
3,23,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0355,141
3,24,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.3325,143
3,25,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.3864,141
3,26,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9468,154
3,27,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2128,91
3,28,72.5.205.44,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8445,64
3,29,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9186,140
3,30,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1714,143
3,31,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.4707,151
3,32,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2723,88
3,33,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.6943,126
3,34,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0484,141
3,35,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9529,87
3,36,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9151,87
3,37,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0687,141
3,38,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9415,141
3,39,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1337,90
